LName,FName,MI,ANumber,Grad year,Sex,LVL,College,Degree,Program,Major1,Major2,Minor1,Minor2,Conc1,Conc2,Salary,Loans,StartDate,GraduatedAtUindy
Matthews,Albert,W,A00975858,201110,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,43,56,200810,1
Brewer,Rose,D,A00991190,201120,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,40,69,200820,1
Parks,Katie,M,A00946108,201120,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,51,22,200520,1
Blake,Ian,D,A00923863,201120,F,U,AS,BS,BS-AS,CRIM,,LEGL,,CORR,,43,81,200520,1
Reed,Winifred,V,A00961635,201120,M,U,AS,BS,BS-AS,CRIM,,,,PREV,PLAW,60,100,200720,0
Bell,Lena,K,A00977309,201120,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,44,84,200920,1
Gonzalez,Marie,U,A00953240,201120,M,U,AS,BS,BS-AS,CRIM,,SOC,,LAW,,60,79,200920,1
Ford,Clayton,B,A00976353,201120,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,68,24,200920,1
Moss,Jason,J,A00904804,201120,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,39,74,200820,1
Wong,Mabel,S,A00981696,201120,M,U,AS,BS,BS-AS,CRIM,,,,,,54,25,200720,1
Roberts,Sara,C,A00909996,201220,F,U,AS,BS,BS-AS,CRIM,,,,,,60,30,200820,1
Osborne,Alvin,C,A00957592,201220,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,51,62,200820,1
Edwards,Annie,V,A00950890,201220,M,U,AS,BS,BS-AS,CRIM,,LEGL,,LAW,CORR,39,27,200720,0
Underwood,Lena,Y,A00945002,201220,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,48,21,201020,1
Carpenter,Christina,R,A00977114,201220,M,U,AS,BS,BS-AS,CRIM,,,,,,47,77,200820,0
Schneider,Rebecca,B,A00945853,201210,F,U,AS,BS,BS-AS,CRIM,,,,,,46,64,201010,0
Pena,Carrie,F,A00969279,201220,M,U,AS,BS,BS-AS,CRIM,,,,CYBR,,39,89,201020,1
Armstrong,Rosetta,F,A00908025,201210,M,U,AS,BA,BA-AS,CRIM,PSYC,,,LAW,,40,36,201010,1
Chambers,George,N,A00976620,201210,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,58,95,200910,0
McCormick,Helena,W,A00925052,201220,M,U,AS,BS,BS-AS,CRIM,,SPAN,,LAW,,46,49,200920,1
Boyd,Wayne,G,A00906903,201220,M,U,AS,BS,BS-AS,CRIM,,SOC,,LAW,,56,84,200920,1
Saunders,Eunice,Q,A00935032,201210,M,U,AS,BS,BS-AS,CRIM,,LEGL,,PLAW,LAW,50,21,200710,1
Barber,Norman,V,A00932154,201210,F,U,AS,BS,BS-AS,CRIM,,,,,,63,71,200910,1
Russell,Devin,D,A00967158,201220,F,U,AS,BS,BS-AS,CRIM,,,,,,37,45,201120,1
Briggs,Carolyn,J,A00977456,201320,F,U,AS,BS,BS-AS,CRIM,,LEGL,,PLAW,LAW,52,100,201120,1
Hale,Glen,F,A00952135,201310,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,65,13,201210,1
Bryan,Louise,N,A00922117,201320,M,U,AS,BA,BA-AS,CRIM,PSYC,,,LAW,,50,64,201120,1
Doyle,Adeline,C,A00919624,201310,M,U,AS,BS,BS-AS,CRIM,,SOC,,LAW,,49,74,200910,1
Schmidt,Jordan,H,A00947187,201320,M,U,AS,BS,BS-AS,CRIM,,,,,,34,66,200920,1
Griffith,Mollie,L,A00971860,201310,F,U,AS,BS,BS-AS,CRIM,,SPAN,,PLAW,LAW,43,41,201010,1
Cruz,Teresa,O,A00910391,201320,F,U,AS,BS,BS-AS,CRIM,,SPAN,,LAW,,46,62,201220,0
Hanson,Bruce,I,A00997832,201320,F,U,AS,BS,BS-AS,CRIM,,BADM,,LAW,,47,14,201120,1
Gardner,Maggie,D,A00928916,201320,F,U,AS,BS,BS-AS,CRIM,,SOC,,LAW,,75,58,200920,1
Alexander,Todd,K,A00975685,201320,F,U,AS,BS,BS-AS,CRIM,,LEGL,,CORR,,62,76,201120,0
Ortiz,Jeremiah,J,A00991052,201320,M,U,AS,BS,BS-AS,CRIM,,SOC,,LAW,,39,55,201120,1
Copeland,Kathryn,C,A00946960,201320,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,53,72,200720,1
Ramsey,Seth,Y,A00935308,201320,F,U,AS,BS,BS-AS,CRIM,SOC,,,LAW,,52,70,201120,1
Ingram,Alvin,W,A00910258,201320,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,39,29,201120,1
Hughes,Cynthia,Q,A00908754,201320,M,U,AS,BS,BS-AS,CRIM,,LEGL,,CORR,,50,32,200720,1
Rodriguez,Hunter,E,A00993112,201320,M,U,AS,BS,BS-AS,CRIM,,,,LAW,PREV,57,33,201120,0
Murray,Caleb,P,A00937181,201320,F,U,AS,BS,BS-AS,CRIM,,SOC,,LAW,,65,97,200820,1
Daniels,Daisy,R,A00903699,201420,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,44,72,201120,1
Powers,Henry,P,A00945876,201420,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,46,82,201220,1
Logan,Alexander,S,A00940423,201420,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,35,53,201320,0
Ramirez,Steve,T,A00990111,201420,M,U,AS,BS,BS-AS,CRIM,,,,CYBR,,45,49,201220,1
Flores,Shawn,X,A00955162,201420,F,U,AS,BS,BS-AS,CRIM,,SOC,,LAW,,49,57,201120,0
Harrington,Joe,R,A00987130,201420,M,U,AS,BS,BS-AS,CRIM,,SOC,,LAW,,45,62,200920,1
Webb,Lewis,D,A00924326,201420,M,U,AS,BS,BS-AS,CRIM,,,,LAW,PREV,62,37,200920,0
Cruz,Jesus,E,A00909639,201410,M,U,AS,BS,BS-AS,CRIM,,BADM,,LAW,,55,17,201110,0
Schwartz,Eva,K,A00955380,201410,M,U,AS,BS,BS-AS,CRIM,PSYC,SOC,,,,36,95,200910,0
Frazier,Jeremy,S,A00937937,201420,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,63,83,200820,1
Newton,Nettie,E,A00975886,201420,F,U,AS,BS,BS-AS,CRIM,,,,,,39,53,200920,1
Singleton,Mittie,C,A00934843,201420,F,U,AS,BS,BS-AS,CRIM,,LEGL,,CORR,,55,98,201120,0
Dennis,Brandon,L,A00953426,201410,F,U,AS,BS,BS-AS,CRIM,,SPAN,,PLAW,LAW,63,13,201110,1
Jenkins,Gussie,T,A00942510,201420,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,60,40,201220,1
Arnold,Leah,Z,A00990514,201520,F,U,AS,BS,BS-AS,CRIM,SOC,,,LAW,,45,34,201420,1
Phelps,Teresa,F,A00906980,201520,F,U,AS,BS,BS-AS,CRIM,,PREV,BADM,LAW,,58,65,200920,1
Gibbs,Esther,A,A00907336,201520,F,U,AS,BS,BS-AS,CRIM,,,,CYBR,,57,59,201120,0
Adkins,Charles,C,A00918182,201520,M,U,AS,BS,BS-AS,CRIM,,SOC,SPAN,CORR,LAW,41,16,201220,1
Miles,Harold,L,A00916372,201520,M,U,AS,BS,BS-AS,CRIM,,IREL,SOC,LAW,,43,13,201120,1
Hopkins,Mayme,B,A00912865,201520,F,U,AS,BS,BS-AS,CRIM,,,,,,40,52,201020,1
Gardner,Clara,I,A00939528,201520,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,64,11,200920,1
Curtis,Barry,V,A00920069,201520,M,U,AS,BS,BS-AS,CRIM,,,,,,37,29,201420,1
Boone,Lee,Q,A00992410,201520,M,U,AS,BS,BS-AS,CRIM,,LEGL,,CORR,,48,79,201020,0
Phelps,Bertha,F,A00993002,201520,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,61,39,201420,1
Benson,Eric,B,A00942030,201520,F,U,AS,BS,BS-AS,CRIM,,SPAN,,PLAW,LAW,64,82,200920,0
Myers,Lilly,C,A00924995,201520,F,U,AS,BS,BS-AS,CRIM,,,,LAW,PREV,27,81,201120,1
George,Connor,E,A00907816,201520,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,43,82,200920,1
Hill,Norman,Y,A00909117,201510,F,U,AS,BS,BS-AS,CRIM,,PSYC,SOC,LAW,,44,72,201310,1
Thomas,Rosa,E,A00992523,201520,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,58,93,201120,1
Silva,Luke,D,A00946338,201510,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,36,32,201310,0
Roberson,Lenora,T,A00988172,201520,F,U,AS,BS,BS-AS,CRIM,,PSYC,SOC,LAW,,60,49,201020,1
Rice,Chester,T,A00980278,201520,F,U,AS,BS,BS-AS,CRIM,,SOC,SPAN,CORR,LAW,41,57,200920,1
Warren,Harriett,Y,A00955206,201620,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,39,13,201520,1
Buchanan,Robert,O,A00985848,201620,M,U,AS,BS,BS-AS,CRIM,,,,PREV,PLAW,45,14,201020,1
Colon,Sallie,T,A00909916,201620,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,47,14,201420,1
Burgess,Helena,H,A00904883,201620,M,U,AS,BS,BS-AS,CRIM,,,,CYBR,,51,13,201320,1
Ramsey,Madge,I,A00932562,201620,F,U,AS,BS,BS-AS,CRIM,,LEGL,,PLAW,LAW,50,86,201120,1
Carlson,Mayme,R,A00994781,201620,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,37,56,201220,0
Simon,Mark,Z,A00927463,201620,M,U,AS,BA,BA-AS,CRIM,PSYC,,,LAW,,45,92,201320,0
Tate,Dean,S,A00904173,201620,F,U,AS,BS,BS-AS,CRIM,,,,LAW,PREV,52,30,201020,0
Payne,Iva,E,A00975370,201610,M,U,AS,BS,BS-AS,CRIM,,PSYC,SOC,LAW,,34,55,201010,0
McBride,Herbert,Z,A00979260,201620,M,U,AS,BS,BS-AS,CRIM,,,,PREV,PLAW,45,49,201120,1
Jensen,Sue,A,A00965703,201610,M,U,AS,BS,BS-AS,CRIM,,PSYC,SOC,LAW,,37,88,201510,0
Griffin,Abbie,S,A00940700,201620,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,40,52,201220,0
Bennett,Edward,G,A00968519,201620,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,65,41,201120,1
Sanders,Kate,B,A00956042,201620,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,57,30,201120,1
Lynch,Jimmy,T,A00914112,201620,F,U,AS,BS,BS-AS,CRIM,,,,CYBR,,38,69,201520,1
Padilla,Gilbert,I,A00987911,201610,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,50,49,201510,1
Hart,Marguerite,C,A00953669,201620,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,57,64,201220,1
Hill,Cora,G,A00955747,201620,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,41,49,201420,0
Salazar,Leroy,S,A00936285,201610,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,60,40,201410,1
Castillo,Victoria,I,A00925365,201710,F,U,AS,BS,BS-AS,CRIM,,SOC,SPAN,CORR,LAW,54,87,201510,1
Fletcher,Dominic,R,A00937019,201710,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,59,96,201510,1
Schneider,Kevin,G,A00929852,201710,M,U,AS,BS,BS-AS,CRIM,,PREV,BADM,LAW,,32,17,201610,1
McDaniel,Lloyd,Y,A00944903,201720,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,27,29,201620,1
Greene,Flora,J,A00990045,201710,F,U,AS,BS,BS-AS,CRIM,,SOC,,LAW,,64,30,201510,1
Walsh,Joel,C,A00995719,201720,M,U,AS,BS,BS-AS,CRIM,,SOC,,LAW,,40,38,201620,1
Harrington,Ada,B,A00986472,201720,M,U,AS,BS,BS-AS,CRIM,,IREL,SOC,LAW,,47,26,201220,0
Diaz,Irene,O,A00936317,201720,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,61,45,201620,1
Caldwell,Juan,K,A00939087,201720,F,U,AS,BS,BS-AS,CRIM,,,,PREV,PLAW,30,40,201420,1
Lamb,Mable,H,A00960297,201720,F,U,AS,BS,BS-AS,CRIM,,,,LAW,,33,96,201620,1
Ellis,Ella,A,A00963494,201720,M,U,AS,BS,BS-AS,CRIM,,,,LAW,,50,19,201320,1
White,Lydia,F,A00980269,201710,F,U,AS,BS,BS-AS,CRIM,SOC,,,LAW,,37,43,201310,0
Riley,Willie,N,A00956360,201720,M,U,AS,BS,BS-AS,CRIM,,IREL,SOC,LAW,,44,15,201620,1
Parsons,Viola,Z,A00928027,201720,F,U,AS,BS,BS-AS,CRIM,,,,,,53,12,201220,0
May,Corey,F,A00954773,201710,M,U,AS,BS,BS-AS,CRIM,,LEGL,,LAW,CORR,46,14,201110,1
Sims,Alta,N,A00997739,201320,F,U,NU,NDGU,NDGU-NU,CRS,,,,,,73,89,201120,1
Goodwin,Ophelia,M,A00982167,201410,F,U,NU,NDGU,NDGU-NU,CRS,,,,,,54,23,201210,1
Chavez,Jay,N,A00984681,201520,F,U,NU,NDGU,NDGU-NU,CRS,,,,,,61,97,201320,1
Owen,Isabelle,L,A00958173,201620,F,U,NU,NDGU,NDGU-NU,CRS,,,,,,31,57,201020,1
Garza,Henry,N,A00994130,201720,F,U,NU,NDGU,NDGU-NU,CRS,,,,,,38,61,201620,1
Harvey,Ronald,W,A00964367,201320,M,U,AS,BS,BS-AS,CSCE,,,,,,68,70,200820,1
Cross,Minnie,D,A00934177,201410,M,U,AS,BS,BS-AS,CSCE,,,,,,43,49,200810,1
Mason,Linnie,O,A00953296,201510,M,U,AS,BS,BS-AS,CSCE,,,,,,59,60,200910,1
Bates,Birdie,A,A00913770,201620,M,U,AS,BS,BS-AS,CSCE,,,,,,56,25,201220,1
Washington,Miguel,Z,A00977739,201720,M,U,AS,BS,BS-AS,CSCE,,,,,,57,43,201420,1
Vasquez,Eddie,M,A00995631,201710,M,U,AS,BS,BS-AS,CSCE,,,,,,51,80,201410,1
Anderson,Ollie,B,A00933163,201020,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,56,39,200820,1
Benson,Larry,I,A00958791,201010,M,U,AS,BS,BS-AS,CSCI,,CRIM,,,,86,53,200510,1
Pearson,Blanche,I,A00954091,201010,M,U,AS,BS,BS-AS,CSCI,,,,,,72,35,200610,0
Olson,Joel,J,A00909135,201020,M,U,AS,BS,BS-AS,CSCI,,MATH,,HON,,83,99,200720,0
Cannon,Sam,C,A00947197,201020,M,U,AS,BA,BA-AS,CSCI,,,,,,104,19,200720,0
Scott,Ivan,J,A00972840,201020,M,U,AS,BS,BS-AS,CSCI,,,,,,70,13,200720,1
Garrett,Helena,L,A00959629,201020,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,81,21,200920,1
Morris,Lewis,V,A00957153,201010,M,U,AS,BS,BS-AS,CSCI,,MATH,BADM,,,68,96,200710,0
Ferguson,Philip,E,A00907612,201010,M,U,AS,BS,BS-AS,CSCI,,,,,,93,90,200910,1
Sullivan,Roxie,Y,A00996539,201020,M,U,AS,BS,BS-AS,CSCI,,,,,,74,72,200520,0
Grant,Phillip,H,A00985808,201020,M,U,AS,BS,BS-AS,CSCI,,MATH,BADM,,,78,55,200720,0
Campbell,Joel,N,A00903846,201010,M,U,AS,BS,BS-AS,CSCI,,,,,,65,32,200510,1
Washington,Ryan,B,A00955117,201020,F,U,AS,BS,BS-AS,CSCI,,,,,,77,16,200420,0
Ferguson,Justin,C,A00911946,201110,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,71,10,200910,0
Harris,Brandon,K,A00996606,201120,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,57,83,200520,1
Mann,Virgie,Q,A00924124,201120,M,U,AS,BS,BS-AS,CSCI,,CERA,,,,71,75,200520,1
Bridges,Herman,U,A00997356,201120,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,56,16,200820,0
Hoffman,Millie,F,A00969941,201120,M,U,AS,BS,BS-AS,CSCI,,,,,,87,53,201020,1
Curtis,Ida,Y,A00990496,201110,M,U,AS,BS,BS-AS,CSCI,,CRIM,,,,58,47,200910,1
Wood,Luis,C,A00907355,201110,F,U,AS,BS,BS-AS,CSCI,,,,,,53,90,200810,0
Barber,Randy,Q,A00979877,201120,F,U,AS,BS,BS-AS,CSCI,,,,,,86,73,200520,0
Swanson,Lee,O,A00946503,201120,M,U,AS,BS,BS-AS,CSCI,,MATH,,HON,,65,12,200720,0
Nash,Alexander,P,A00995726,201120,M,U,AS,BS,BS-AS,CSCI,,MATH,,HON,,81,67,200520,0
Foster,Stanley,Z,A00989653,201110,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,78,65,200610,1
Reeves,Sarah,B,A00920230,201110,M,U,AS,BS,BS-AS,CSCI,,SPAN,MATH,,,72,63,200510,0
Morales,Sean,D,A00910220,201120,F,U,AS,BS,BS-AS,CSCI,,,,,,90,95,200820,1
Peters,Mattie,O,A00920679,201120,M,U,AS,BS,BS-AS,CSCI,,CRIM,,,,74,40,200520,0
Boyd,Jeff,F,A00962608,201110,M,U,AS,BS,BS-AS,CSCI,,,,,,69,71,200710,1
Lewis,Verna,Y,A00945854,201220,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,74,40,200620,1
Lambert,Louise,O,A00915158,201210,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,81,71,200610,1
Klein,John,U,A00954020,201220,M,U,AS,BS,BS-AS,CSCI,,,,,,70,39,200620,1
Bishop,Ralph,W,A00987286,201220,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,82,42,201120,0
Schmidt,Jeff,K,A00941282,201220,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,80,79,200620,0
Hammond,Lizzie,M,A00929247,201220,M,U,AS,BS,BS-AS,CSCI,,,,,,86,91,201020,0
Morales,Linnie,P,A00946779,201220,M,U,AS,BS,BS-AS,CSCI,,MATH,HIST,,,69,90,200620,0
Hill,Isabella,Y,A00952490,201220,M,U,AS,BS,BS-AS,CSCI,,,,,,73,92,200920,1
Harmon,Christopher,X,A00992142,201220,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,71,60,200720,0
Sullivan,Eula,V,A00978596,201220,F,U,AS,BS,BS-AS,CSCI,,,,,,81,63,200920,0
Gonzalez,Roy,A,A00907163,201210,F,U,AS,BS,BS-AS,CSCI,,,,,,82,16,200610,1
Ramsey,Hunter,D,A00982566,201220,M,U,AS,BS,BS-AS,CSCI,,,,,,85,65,200920,0
Reid,Violet,O,A00972059,201320,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,75,53,200920,0
Gill,Hallie,O,A00957917,201320,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,76,45,201120,0
Wade,Ernest,V,A00970916,201320,M,U,AS,BS,BS-AS,CSCI,PHYS,MATH,,SCMP,,77,67,201120,0
Greene,Scott,V,A00905558,201320,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,65,97,201220,1
Henry,Callie,E,A00954322,201320,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,77,54,200720,1
Fleming,Eva,D,A00911286,201320,M,U,AS,BS,BS-AS,CSCI,,MATH,BADM,,,56,45,200920,0
Hill,Fanny,D,A00921569,201320,M,U,AS,BS,BS-AS,CSCI,,,,,,78,64,200720,1
Jimenez,Alex,D,A00957591,201310,F,U,AS,BS,BS-AS,CSCI,,MATH,,,,80,90,200910,1
Morris,Elijah,Y,A00958246,201310,M,U,AS,BS,BS-AS,CSCI,,,,,,67,74,200910,0
Padilla,Tom,J,A00966264,201320,M,U,AS,BS,BS-AS,CSCI,,CERA,,,,86,91,200820,1
Figueroa,Jeffrey,L,A00926694,201310,M,U,AS,BA,BA-AS,CSCI,,,,,,53,14,200710,1
Graham,Anthony,M,A00921189,201320,M,U,AS,BS,BS-AS,CSCI,,MATH,HIST,,,76,36,200820,1
Bates,Calvin,K,A00929091,201320,M,U,AS,BS,BS-AS,CSCI,,SPAN,MATH,,,71,19,200820,1
Spencer,Jeanette,J,A00992562,201420,F,U,AS,BS,BS-AS,CSCI,,CRIM,,,,73,100,201020,1
Parks,Katharine,K,A00911505,201420,M,U,AS,BA,BA-AS,CSCI,,,,,,78,61,200820,0
West,Adelaide,L,A00936687,201420,M,U,AS,BS,BS-AS,CSCI,,,,,,64,32,201320,0
Drake,Stella,U,A00931159,201420,M,U,AS,BA,BA-AS,CSCI,,,,,,82,19,200920,1
Ellis,Nathaniel,A,A00920919,201420,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,80,14,201320,1
Baldwin,Ellen,Q,A00944013,201420,M,U,AS,BS,BS-AS,CSCI,PHYS,,,,,73,24,201320,1
Collier,Marian,J,A00953491,201420,F,U,AS,BS,BS-AS,CSCI,,MATH,HIST,,,71,56,200920,1
Castro,Floyd,L,A00956117,201420,M,U,AS,BS,BS-AS,CSCI,,CRIM,,,,83,80,201320,1
Lucas,Jason,L,A00950686,201420,M,U,AS,BS,BS-AS,CSCI,,,,,,89,37,201020,0
Johnston,Arthur,D,A00940843,201410,M,U,AS,BS,BS-AS,CSCI,,CRIM,,,,72,13,201310,1
Morton,Ricardo,H,A00946566,201420,M,U,AS,BS,BS-AS,CSCI,,MATH,HIST,,,82,43,201220,1
Wood,Nettie,V,A00968240,201520,M,U,AS,BS,BS-AS,CSCI,PHYS,MATH,,SCMP,,42,22,201220,1
Grant,Lettie,G,A00982976,201520,M,U,AS,BS,BS-AS,CSCI,PHYS,,,,,62,28,200920,1
May,Miguel,A,A00973400,201520,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,71,38,201020,1
Padilla,Wesley,B,A00991606,201520,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,60,94,200920,1
Miles,Isabel,K,A00946072,201520,M,U,AS,BS,BS-AS,CSCI,,MATH,BADM,,,85,71,200920,1
Little,Charles,I,A00940968,201510,M,U,AS,BS,BS-AS,CSCI,,,,,,75,33,201110,0
Tate,Olga,P,A00970493,201520,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,59,42,201420,1
Craig,Leah,O,A00931817,201520,M,U,AS,BS,BS-AS,CSCI,,,,,,72,33,201220,0
Hampton,William,A,A00963367,201620,M,U,AS,BA,BA-AS,CSCI,,,,,,84,43,201520,1
Lee,Landon,R,A00958859,201610,M,U,AS,BS,BS-AS,CSCI,,MATH,,HON,,73,48,201210,1
Russell,Hunter,T,A00968346,201620,M,U,AS,BS,BS-AS,CSCI,,MATH,BADM,,,68,80,201120,1
Hopkins,Katharine,U,A00928531,201610,M,U,AS,BS,BS-AS,CSCI,,SPAN,MATH,,,65,23,201010,0
Fitzgerald,Isabella,O,A00904896,201620,M,U,AS,BS,BS-AS,CSCI,,SPAN,MATH,,,75,55,201520,1
Stone,Randy,A,A00967861,201610,F,U,AS,BS,BS-AS,CSCI,,CERA,,,,78,45,201210,1
Brooks,Randall,L,A00998561,201610,M,U,AS,BA,BA-AS,CSCI,,,,,,79,94,201010,1
Maxwell,Tyler,X,A00915113,201620,M,U,AS,BS,BS-AS,CSCI,PHYS,MATH,,SCMP,,62,36,201220,1
Powell,Tillie,V,A00905077,201620,M,U,AS,BS,BS-AS,CSCI,,,,,,89,36,201520,1
Dawson,Isaac,C,A00999144,201710,M,U,AS,BS,BS-AS,CSCI,PHYS,MATH,,SCMP,,76,36,201110,1
Hogan,Gary,B,A00940532,201720,M,U,AS,BS,BS-AS,CSCI,,,,,,86,52,201520,1
Steele,Catherine,Q,A00992483,201720,M,U,AS,BS,BS-AS,CSCI,,MATH,,,,85,24,201320,0
Terry,Evelyn,L,A00904108,201720,M,U,AS,BS,BS-AS,CSCI,,MATH,,HON,,83,14,201320,0
Cooper,Christine,M,A00921069,201720,M,U,AS,BS,BS-AS,CSCI,,,,,,65,63,201220,1
Ray,Madge,E,A00944187,201720,M,U,AS,BS,BS-AS,CSCI,,MATH,BADM,,,51,59,201120,1
Graves,Troy,U,A00938457,201720,M,U,AS,BS,BS-AS,CSCI,,MATH,HIST,,,78,10,201620,0
Bass,John,K,A00984032,201720,M,U,AS,BS,BS-AS,CSCI,,,,,,69,34,201120,1
Herrera,Lou,X,A00928757,201410,M,U,AS,BS,BS-AS,CSME,,,,,,52,33,201110,1
Elliott,May,O,A00902233,201520,M,U,AS,BS,BS-AS,CSME,,,,,,59,46,201020,1
Richards,Katie,B,A00991932,201620,M,U,AS,BS,BS-AS,CSME,,,,,,62,55,201020,1
Hughes,Jonathan,A,A00944158,201720,M,U,AS,BS,BS-AS,CSME,,,,,,52,20,201420,0
Welch,Leroy,W,A00979564,201410,M,G,ED,MA,MA-ED,CURR,,,,CDCE,,47,57,201310,0
Robertson,Marie,T,A00900182,201520,M,G,ED,MA,MA-ED,CURR,,,,CDCE,,63,66,201020,0
Warner,Winifred,E,A00953874,201620,M,G,ED,MA,MA-ED,CURR,,,,CDCE,,56,29,201020,0
Walton,Duane,H,A00959102,201720,M,G,ED,MA,MA-ED,CURR,,,,CDCE,,64,99,201120,1
Rhodes,Maud,B,A00977623,201020,F,D,CH,DHS,DHS-CH,DHS,,,,,,49,75,200920,0
Horton,James,E,A00990938,201120,F,D,CH,DHS,DHS-CH,DHS,,,,,,45,40,200720,0
Williams,Ronald,S,A00952960,201220,F,D,CH,DHS,DHS-CH,DHS,,,,,,57,87,200620,1
Soto,Mattie,T,A00961652,201310,F,D,CH,DHS,DHS-CH,DHS,,,,,,47,29,200710,1
Cummings,Ralph,H,A00980793,201020,F,D,CH,DHS,DHS-CH,DHSC,,,,,,38,20,200820,0
Kelley,Lydia,H,A00995367,201020,F,D,CH,DHS,DHS-CH,DHSC,,,,,,39,93,200920,0
Daniels,Frederick,S,A00993130,201020,F,D,CH,DHS,DHS-CH,DHSC,,,,,,70,83,200620,1
Mullins,Donald,U,A00937892,201020,F,D,CH,DHS,DHS-CH,DHSC,,,,,,42,15,200720,1
Barton,Eunice,F,A00974533,201020,F,D,CH,DHS,DHS-CH,DHSC,,,,,,63,66,200920,1
Crawford,Chester,I,A00939359,201020,M,D,CH,DHS,DHS-CH,DHSC,,,,,,61,27,200820,1
Collins,Fannie,W,A00966887,201010,F,D,CH,DHS,DHS-CH,DHSC,,,,,,53,75,200710,1
Robinson,Randy,N,A00953419,201010,M,D,CH,DHS,DHS-CH,DHSC,,,,,,43,67,200710,1
Lawson,Bessie,G,A00957649,201020,M,D,CH,DHS,DHS-CH,DHSC,,,,,,50,84,200620,1
Barton,Brandon,P,A00988240,201020,F,D,CH,DHS,DHS-CH,DHSC,,,,,,44,24,200620,0
Holland,Daniel,A,A00959560,201020,F,D,CH,DHS,DHS-CH,DHSC,,,,,,63,88,200820,1
Fitzgerald,Antonio,J,A00910729,201120,M,D,CH,DHS,DHS-CH,DHSC,,,,,,52,29,200520,0
Waters,Marc,I,A00964834,201120,M,D,CH,DHS,DHS-CH,DHSC,,,,,,57,87,200820,0
Armstrong,Francis,O,A00976787,201110,M,D,CH,DHS,DHS-CH,DHSC,,,,,,36,63,200710,1
Mendoza,Curtis,E,A00912258,201120,F,D,CH,DHS,DHS-CH,DHSC,,,,,,52,69,200720,1
Welch,Fred,X,A00967338,201120,F,D,CH,DHS,DHS-CH,DHSC,,,,,,52,41,200720,1
Lee,Charles,V,A00945657,201120,M,D,CH,DHS,DHS-CH,DHSC,,,,,,47,87,200720,1
Reed,Austin,R,A00957426,201120,F,D,CH,DHS,DHS-CH,DHSC,,,,,,54,27,200520,1
Floyd,Mildred,T,A00924553,201120,F,D,CH,DHS,DHS-CH,DHSC,,,,,,60,61,200520,0
Morton,Dollie,L,A00970642,201120,M,D,CH,DHS,DHS-CH,DHSC,,,,,,66,56,200920,0
